Country/Currency,currency,value,date,Day,Month,Year
Australia Dollar,AUD,1.564485,1/1/2022,1,1,2022
Great Britain Pound,GBP,0.840369,1/1/2022,1,1,2022
Euro,EUR,1,1/1/2022,1,1,2022
Japan Yen,JPY,130.89458,1/1/2022,1,1,2022
Switzerland Franc,CHF,1.03674,1/1/2022,1,1,2022
USA Dollar,USD,1.137145,1/1/2022,1,1,2022
Afghanistan Afghani,AFN,117.979297,1/1/2022,1,1,2022
Albania Lek,ALL,121.277018,1/1/2022,1,1,2022
Algeria Dinar,DZD,157.842186,1/1/2022,1,1,2022
Angola Kwanza,AOA,626.101357,1/1/2022,1,1,2022
Argentina Peso,ARS,116.773434,1/1/2022,1,1,2022
Armenia Dram,AMD,546.096265,1/1/2022,1,1,2022
Aruba Florin,AWG,2.046862,1/1/2022,1,1,2022
Azerbaijan New Manat,AZN,1.937662,1/1/2022,1,1,2022
Bahamas Dollar,BSD,1.137387,1/1/2022,1,1,2022
Bahrain Dinar,BHD,0.428655,1/1/2022,1,1,2022
Bangladesh Taka,BDT,97.495932,1/1/2022,1,1,2022
Barbados Dollar,BBD,2.296476,1/1/2022,1,1,2022
Belarus Ruble,BYR,22288.05031,1/1/2022,1,1,2022
Belize Dollar,BZD,2.292658,1/1/2022,1,1,2022
Bermuda Dollar,BMD,1.137145,1/1/2022,1,1,2022
Bhutan Ngultrum,BTN,84.571125,1/1/2022,1,1,2022
Bolivia Boliviano,BOB,7.842413,1/1/2022,1,1,2022
Bosnia Mark,BAM,1.965137,1/1/2022,1,1,2022
Botswana Pula,BWP,13.373034,1/1/2022,1,1,2022
Brazil Real,BRL,6.335383,1/1/2022,1,1,2022
Brunei Dollar,BND,1.535298,1/1/2022,1,1,2022
Bulgaria Lev,BGN,1.953969,1/1/2022,1,1,2022
Burundi Franc,BIF,2278.270857,1/1/2022,1,1,2022
CFA Franc BCEAO,XOF,658.979869,1/1/2022,1,1,2022
CFA Franc BEAC,XAF,659.089986,1/1/2022,1,1,2022
CFP Franc,XPF,120.367257,1/1/2022,1,1,2022
Cambodia Riel,KHR,4628.182274,1/1/2022,1,1,2022
Canada Dollar,CAD,1.437255,1/1/2022,1,1,2022
Cape Verde Escudo,CVE,110.587841,1/1/2022,1,1,2022
Cayman Islands Dollar,KYD,0.947789,1/1/2022,1,1,2022
Chili Peso,CLP,968.848312,1/1/2022,1,1,2022
China Yuan/Renminbi,CNY,7.227587,1/1/2022,1,1,2022
Colombia Peso,COP,4622.871406,1/1/2022,1,1,2022
Comoros Franc,KMF,494.516161,1/1/2022,1,1,2022
Congo Franc,CDF,2277.138169,1/1/2022,1,1,2022
Costa Rica Colon,CRC,730.147918,1/1/2022,1,1,2022
Croatia Kuna,HRK,7.516973,1/1/2022,1,1,2022
Cuba Convertible Peso,CUC,1.137145,1/1/2022,1,1,2022
Cuba Peso,CUP,30.134354,1/1/2022,1,1,2022
Czech Koruna,CZK,24.871929,1/1/2022,1,1,2022
Denmark Krone,DKK,7.435897,1/1/2022,1,1,2022
Djibouti Franc,DJF,202.093932,1/1/2022,1,1,2022
Dominican Republich Peso,DOP,65.243765,1/1/2022,1,1,2022
East Caribbean Dollar,XCD,3.073193,1/1/2022,1,1,2022
Egypt Pound,EGP,17.864285,1/1/2022,1,1,2022
El Salvador Colon,SVC,9.952132,1/1/2022,1,1,2022
Ethiopia Birr,ETB,55.891143,1/1/2022,1,1,2022
Falkland Islands Pound,FKP,0.857839,1/1/2022,1,1,2022
Fiji Dollar,FJD,2.41587,1/1/2022,1,1,2022
Gambia Dalasi,GMD,59.984864,1/1/2022,1,1,2022
Georgia Lari,GEL,3.519511,1/1/2022,1,1,2022
Ghana New Cedi,GHS,6.993888,1/1/2022,1,1,2022
Gibraltar Pound,GIP,0.857839,1/1/2022,1,1,2022
Guatemala Quetzal,GTQ,8.77767,1/1/2022,1,1,2022
Guinea Franc,GNF,10603.88148,1/1/2022,1,1,2022
Guyana Dollar,GYD,237.84642,1/1/2022,1,1,2022
Haiti Gourde,HTG,114.046113,1/1/2022,1,1,2022
Honduras Lempira,HNL,27.750716,1/1/2022,1,1,2022
Hong Kong Dollar,HKD,8.865304,1/1/2022,1,1,2022
Hungary Forint,HUF,369.242932,1/1/2022,1,1,2022
