Day,Month,Year,Date,Open,High,Low,Close,Adj Close,Volume,Average,,
12,6,2017,12/6,36.470001,37.924999,35.5275,37.4925,37.076328,169753200,36.7262495,,TRUE_AVG
13,6,2017,13/6,38.599998,38.692501,36.412498,37.849998,37.429855,167250400,37.5524995,,104.140752
14,6,2017,14/6,37.880001,38.514999,37.125,37.93,37.508972,118464000,37.8199995,,
15,6,2017,15/6,36.740002,38.400002,36.625,38.092499,37.669662,96382400,37.512501,,
16,6,2017,16/6,38.189999,38.674999,37.560001,37.904999,37.484249,92496000,38.1175,,
19,6,2017,19/6,38.352501,39.3825,38.314999,39.330002,38.89344,77817600,38.8487495,,
20,6,2017,20/6,39.7575,40.435001,39.23,39.272499,38.836567,109544400,39.8325005,,
21,6,2017,21/6,39.552502,39.904999,38.924999,39.8675,39.424965,68265200,39.414999,,
22,6,2017,22/6,39.950001,40.084999,39.349998,39.592499,39.153011,46913200,39.7174985,,
23,6,2017,23/6,39.669998,39.830002,38.305,38.4575,38.030617,108858800,39.067501,,
26,6,2017,26/6,38.790001,39.150002,37.0825,38.037498,37.61528,106396000,38.116251,,
27,6,2017,27/6,37.860001,37.947498,36.587502,36.645,36.238235,99949200,37.2675,,
28,6,2017,28/6,37.330002,37.985001,36.4375,37.9375,37.516384,99494800,37.2112505,,
29,6,2017,29/6,37.650002,37.68,36.02,36.669998,36.262951,106442400,36.85,,
30,6,2017,30/6,36.845001,36.982498,35.875,36.139999,35.738838,73106000,36.428749,,
3,7,2017,3/7,36.262501,36.412498,34.645,34.8325,34.44585,70907200,35.528749,,
5,7,2017,5/7,35.474998,36.055,35.282501,35.762501,35.365528,82018800,35.6687505,,
6,7,2017,6/7,35.467499,36.345001,34.939999,35.869999,35.471836,74628400,35.6425,,
7,7,2017,7/7,36.445,36.875,36.212502,36.689999,36.28273,65497200,36.543751,,
10,7,2017,10/7,37.435001,38.5,37.169998,38.424999,37.998478,95849200,37.834999,,
11,7,2017,11/7,38.462502,39.047501,38.037498,38.970001,38.537422,75795600,38.5424995,,
12,7,2017,12/7,39.575001,40.75,39.139999,40.627499,40.176525,114520800,39.9449995,,
13,7,2017,13/7,40.75,41.575001,39.6875,40.157501,39.711742,136913200,40.6312505,,
14,7,2017,14/7,40.322498,41.252499,40.252499,41.237499,40.779758,94194800,40.752499,,
17,7,2017,17/7,41.5825,41.875,40.4375,41.0625,40.606709,93079200,41.15625,,
18,7,2017,18/7,40.445,41.637501,40.325001,41.490002,41.029465,77664000,40.981251,,
19,7,2017,19/7,41.5825,41.849998,41.1525,41.275002,40.816837,68704400,41.501249,,
20,7,2017,20/7,41.482498,41.877499,40.977501,41.875,41.410179,69959600,41.4275,,
21,7,2017,21/7,41.6675,42.325001,41.522499,42.025002,41.558521,64833200,41.92375,,
24,7,2017,24/7,42.0975,42.195,41.43,41.537498,41.076424,65252400,41.8125,,
25,7,2017,25/7,41.305,41.482498,40.895,41.337502,40.878651,49655600,41.188749,,
26,7,2017,26/7,41.919998,42.482498,41.462502,41.814999,41.35083,64040400,41.9725,,
27,7,2017,27/7,42.067501,42.185001,39.389999,40.435001,39.986156,78285600,40.7875,,
28,7,2017,28/7,40.072498,41.345001,39.82,41.0975,40.641308,51334800,40.5825005,,
31,7,2017,31/7,41.235001,41.599998,40.154999,40.627499,40.176525,55967200,40.8774985,,
1,8,2017,1/8,40.532501,41.139999,40.25,41.122501,40.666023,43138400,40.6949995,,
2,8,2017,2/8,41.4375,41.477501,40.317501,41.0975,40.641308,47844400,40.897501,,
3,8,2017,3/8,41.092499,41.657501,40.919998,41.619999,41.158012,44242000,41.2887495,,
4,8,2017,4/8,41.849998,42.517502,41.619999,41.802502,41.338493,58909600,42.0687505,,
7,8,2017,7/8,42.0975,43.092499,42,43.087502,42.60923,71741200,42.5462495,,
8,8,2017,8/8,43.4725,43.639999,42.177502,42.575001,42.102409,75533600,42.9087505,,
9,8,2017,9/8,42.107498,43.052502,41.9175,43.0275,42.549892,53078400,42.485001,,
10,8,2017,10/8,43.040001,43.165001,41.0825,41.185001,40.727837,132808800,42.1237505,,
11,8,2017,11/8,39.285,39.75,38.227501,38.990002,38.557205,149719600,38.9887505,,
14,8,2017,14/8,39.9175,42.137501,39.799999,42.099998,41.632679,127902000,40.96875,,
15,8,2017,15/8,42.1525,42.4175,41.397499,41.744999,41.281612,76453200,41.9074995,,
16,8,2017,16/8,41.897499,42.134998,40.959999,41.287498,40.829205,59663200,41.5474985,,
17,8,2017,17/8,41.202499,41.375,40.345001,40.3675,39.919415,52544400,40.8600005,,
18,8,2017,18/8,40.9175,41.09,39.91,40.375,39.926819,60120400,40.5,,
21,8,2017,21/8,40.622501,40.737499,39.342499,39.787498,39.345852,62367200,40.039999,,
22,8,2017,22/8,40.122501,40.697498,39.927502,40.637501,40.221798,45045600,40.3125,,
23,8,2017,23/8,40.299999,41.5625,40.212502,41.450001,41.025974,57952000,40.887501,,
24,8,2017,24/8,41.775002,41.82,41.029999,41.297501,40.87505,46970000,41.4249995,,
25,8,2017,25/8,41.5425,41.645,40.887501,40.952499,40.533577,35720000,41.2662505,,
28,8,2017,28/8,41.145,41.275002,40.5825,41.2425,40.820602,38949600,40.928751,,
29,8,2017,29/8,40.647499,41.395,40.564999,41.174999,40.753788,32409600,40.9799995,,
30,8,2017,30/8,41.375,41.532501,41.067501,41.419998,40.996288,38440000,41.300001,,
31,8,2017,31/8,41.625,42.400002,41.549999,42.360001,41.926682,61268400,41.9750005,,
1,9,2017,1/9,42.487499,42.974998,42.400002,42.615002,42.179073,44543200,42.6875,,
5,9,2017,5/9,42.095001,42.145,40.889999,41.477501,41.053207,69536400,41.5174995,,
6,9,2017,6/9,41.810001,41.950001,41.099998,41.452499,41.028469,39767200,41.5249995,,
7,9,2017,7/9,41.622501,41.9725,41.237499,41.645,41.218998,35286800,41.6049995,,
8,9,2017,8/9,41.5275,41.677502,40.677502,40.922501,40.503876,49885600,41.177502,,
11,9,2017,11/9,41.384998,42.357498,41.330002,42.25,41.817787,56744400,41.84375,,
12,9,2017,12/9,42.5,42.5,41.7425,42.4025,41.968735,41148800,42.12125,,
13,9,2017,13/9,42.147499,42.884998,41.82,42.592499,42.156799,58096000,42.352499,,
14,9,2017,14/9,42.197498,43.139999,41.950001,42.349998,41.916779,51371200,42.545,,
15,9,2017,15/9,43.215,45.0275,43.162498,45.0275,44.566891,136479200,44.094999,,
18,9,2017,18/9,46.285,47.799999,46.215,46.887501,46.407856,168446000,47.0074995,,
19,9,2017,19/9,46.377499,47.462502,46.154999,46.837502,46.358364,87428000,46.8087505,,
20,9,2017,20/9,46.875,47.355,46.052502,46.459999,45.98473,72492000,46.703751,,
21,9,2017,21/9,45.41,45.674999,44.4025,45.189999,44.727726,107560000,45.0387495,,
22,9,2017,22/9,45.075001,45.577499,44.650002,44.75,44.292225,49123200,45.1137505,,
25,9,2017,25/9,44.4375,44.450001,42.540001,42.75,42.312683,87458000,43.495001,,
26,9,2017,26/9,44.112499,44.669998,42.587502,42.990002,42.550228,112562000,43.62875,,
27,9,2017,27/9,43.904999,44.067501,43.1875,43.932499,43.483089,71372000,43.6275005,,
28,9,2017,28/9,44.005001,44.044998,43.439999,43.919998,43.470718,43524400,43.7424985,,
29,9,2017,29/9,44.77,44.932499,44.3125,44.692501,44.235313,61909200,44.6224995,,
2,10,2017,2/10,45.200001,45.494999,44.25,44.75,44.292225,50348000,44.8724995,,
3,10,2017,3/10,44.8125,45.145,44.395,44.842499,44.383774,39033200,44.77,,
4,10,2017,4/10,44.904999,45.442501,44.535,45.217499,44.754948,42784800,44.9887505,,
5,10,2017,5/10,45.465,45.5,44.889999,45.192501,44.730198,43736400,45.1949995,,
6,10,2017,6/10,44.912498,45.459999,44.75,45.325001,44.861343,31880000,45.1049995,,
9,10,2017,9/10,45.697498,46.682499,45.5075,46.3475,45.873379,56349200,46.0949995,,
10,10,2017,10/10,47.857498,48.237499,46.814999,47.232498,46.749329,97487600,47.526249,,
11,10,2017,11/10,47.400002,47.75,46.935001,47.735001,47.246696,52950800,47.3425005,,
12,10,2017,12/10,47.77,48.272499,47.482498,47.7575,47.268955,52829200,47.8774985,,
13,10,2017,13/10,48.387501,48.75,47.912498,48.647499,48.149857,62872800,48.331249,,
16,10,2017,16/10,48.950001,49.512501,48.310001,49.482498,48.976318,57664000,48.911251,,
17,10,2017,17/10,49.272499,49.724998,49.087502,49.4375,48.931774,47859600,49.40625,,
18,10,2017,18/10,49.5275,49.535,48.330002,49.395,48.889713,56731600,48.932501,,
19,10,2017,19/10,48.610001,49.5,48.112499,49.450001,48.944145,57077200,48.8062495,,
20,10,2017,20/10,49.622501,49.897499,49.134998,49.224998,48.721443,45162000,49.5162485,,
23,10,2017,23/10,49.445,49.712502,48.950001,49.154999,48.652161,42869600,49.3312515,,
24,10,2017,24/10,49.247501,49.6875,48.985001,49.669998,49.161896,40724400,49.3362505,,
25,10,2017,25/10,49.27,49.805,47.7925,48.415001,47.919739,82816000,48.79875,,
26,10,2017,26/10,48.695,49.040001,48.452499,48.922501,48.422035,32274400,48.74625,,
27,10,2017,27/10,49.450001,50.467499,49.1875,50.465,49.948761,57219200,49.8274995,,
30,10,2017,30/10,50.465,51.522499,50.305,50.959999,50.438694,50405600,50.9137495,,
31,10,2017,31/10,51.282501,51.9725,51.224998,51.702499,51.173607,41190800,51.598749,,
1,11,2017,1/11,52.337502,52.4925,51.150002,51.799999,51.270107,50257600,51.821251,,
2,11,2017,2/11,51.5,51.952499,50.912498,51.485001,50.958328,34230800,51.4324985,,
3,11,2017,3/11,51.799999,52.172501,51.334999,52.172501,51.638798,35364000,51.75375,,
6,11,2017,6/11,51.799999,52.494999,51.674999,52.407501,51.871384,38994400,52.084999,,
7,11,2017,7/11,52.637501,53.224998,52.514999,53.0075,52.465263,42770000,52.8699985,,
8,11,2017,8/11,52.962502,53,51.810001,52.290001,51.755104,52298800,52.4050005,,
9,11,2017,9/11,51.317501,51.5825,50.092499,51.330002,50.804913,97856400,50.8374995,,
10,11,2017,10/11,53.27,54.6675,52.907501,54.035,53.482243,125325600,53.7875005,,
13,11,2017,13/11,54.035,54.2925,53.002499,53.157501,52.613712,58237600,53.6474995,,
14,11,2017,14/11,53.25,53.700001,52.807499,53.544998,52.997253,52929200,53.25375,,
15,11,2017,15/11,52.987499,53,51.950001,52.494999,51.957993,50194800,52.4750005,,
16,11,2017,16/11,53.244999,53.549999,52.8125,52.9025,52.361324,44176800,53.1812495,,
17,11,2017,17/11,53.48,53.837502,52.6875,52.84,52.299473,51566400,53.262501,,
20,11,2017,20/11,52.997501,53.642502,52.625,53.52,52.972507,39610000,53.133751,,
21,11,2017,21/11,53.922501,54.130001,53.599998,54.012501,53.459972,39917600,53.8649995,,
22,11,2017,22/11,54.25,54.25,53.4025,53.732498,53.219788,35664000,53.82625,,
24,11,2017,24/11,53.897499,54.25,53.650002,54.240002,53.722446,18075200,53.950001,,
27,11,2017,27/11,54.327499,54.34,53.502499,53.535,53.024178,42289600,53.9212495,,
28,11,2017,28/11,53.587502,53.682499,52.060001,52.677502,52.174858,51275200,52.87125,,
29,11,2017,29/11,52.502499,52.529999,47.807499,49.105,48.636444,139678800,50.168749,,
30,11,2017,30/11,49.799999,50.669998,49.162498,50.177502,49.698715,82376800,49.916248,,
1,12,2017,1/12,49.827499,50.032501,48.1175,49.419998,48.948433,81154800,49.0750005,,
4,12,2017,4/12,50.012501,50.075001,46.125,46.665001,46.219723,124084400,48.1000005,,
5,12,2017,5/12,45.599998,48.174999,45.145,46.935001,46.487148,98148800,46.6599995,,
6,12,2017,6/12,46.424999,47.535,46.209999,47.314999,46.863537,46703200,46.8724995,,
7,12,2017,7/12,47.990002,48.400002,47.529999,47.997501,47.539509,54260000,47.9650005,,
8,12,2017,8/12,48.502499,48.695,47.787498,47.872501,47.415707,46687600,48.241249,,
11,12,2017,11/12,48.014999,48.695,47.855,48.665001,48.20063,37274800,48.275,,
12,12,2017,12/12,48.224998,48.459999,47.4725,47.709999,47.254753,45501600,47.9662495,,
13,12,2017,13/12,48.125,48.137501,46.470001,46.544998,46.100864,55428000,47.303751,,
14,12,2017,14/12,46.48,47.334999,46.150002,46.6175,46.172676,43816400,46.7425005,,
15,12,2017,15/12,47.0625,48.095001,46.404999,47.889999,47.433041,67003600,47.25,,
18,12,2017,18/12,48.299999,49.505001,48,49.474998,49.002918,47770400,48.7525005,,
19,12,2017,19/12,49.380001,49.432499,48.740002,49.0275,48.559685,37310000,49.0862505,,
20,12,2017,20/12,49.424999,49.517502,48.637501,49.200001,48.730534,28882000,49.0775015,,
21,12,2017,21/12,49.235001,49.487499,48.887501,48.9725,48.505211,30090400,49.1875,,
22,12,2017,22/12,48.599998,48.912498,47.8125,48.817501,48.351696,46627600,48.362499,,
26,12,2017,26/12,48.2575,49.4375,47.955002,49.360001,48.889015,35508000,48.696251,,
27,12,2017,27/12,49.224998,49.9925,49.077499,49.2925,48.822155,32948800,49.5349995,,
28,12,2017,28/12,49.532501,49.845001,49.287498,49.349998,48.879101,24024800,49.5662495,,
29,12,2017,29/12,49.615002,49.615002,48.375,48.375,47.91341,27996400,48.995001,,
2,1,2018,2/1,48.945,49.875,48.625,49.837502,49.361954,35561600,49.25,,
3,1,2018,3/1,51.025002,53.424999,50.9375,53.1175,52.610653,91470400,52.1812495,,
4,1,2018,4/1,53.939999,54.512501,53.172501,53.397499,52.887989,58326800,53.842501,,
5,1,2018,5/1,53.547501,54.227501,52.77,53.849998,53.336174,58012400,53.4987505,,
8,1,2018,8/1,55.099998,56.25,54.645,55.5,54.970417,88121600,55.4475,,
9,1,2018,9/1,55.555,55.955002,54.66,55.485001,54.955563,49700000,55.307501,,
10,1,2018,10/1,54.549999,55.955002,54,55.919998,55.386417,58266400,54.977501,,
11,1,2018,11/1,56.25,56.567501,55.802502,56.02,55.485462,40603200,56.1850015,,
12,1,2018,12/1,55.900002,56.247501,55.334999,55.744999,55.213085,35991600,55.79125,,
16,1,2018,16/1,56.012501,56.877499,54.172501,55.0275,54.502426,70234800,55.525,,
17,1,2018,17/1,55.174999,56.279999,54.224998,56.18,55.643936,53840800,55.2524985,,
18,1,2018,18/1,55.985001,56.66,55.669998,56.110001,55.5746,40863200,56.164999,,
19,1,2018,19/1,57.022499,57.772499,56.75,57.5275,56.978573,60938000,57.2612495,,
22,1,2018,22/1,57.607498,58.439999,57.025002,58.422501,57.86504,55094400,57.7325005,,
23,1,2018,23/1,58.962502,59.9575,58.775002,59.727501,59.157593,47522800,59.366251,,
24,1,2018,24/1,59.759998,60.122501,58.387501,58.950001,58.387505,57997200,59.255001,,
25,1,2018,25/1,59.5,59.9375,58.9375,59.087502,58.523697,40988400,59.4375,,
